Namespace,Key,英文原文,原版中文（官方zh）,AI翻译,DeepSeek参考,翻译状态,生效预估（AI预估，仅供参考）
MissionObjectivesDatatable,TRITON_SURVEY_O1_Title,Geological Survey: Triton ,地质勘测：海卫一 ,,地质勘测：海卫一,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TST1O1_Description,Description,描述,,描述,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TST1O1_Title,Handy Who,,便利之人,得心应手,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TST1O2_Description,"Wonderful! To start with, our [module] has seen better days. Think you can replace it?",很好！我们开始吧，[模块] 已经十分陈旧，想不想换一个？,,好极了！首先，我们的[模块]已经风光不再了。你能更换它吗？,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TST1O2_Title,Farside Station needs assistance with various tasks,远端空间站需要协助进行各种任务,,远畔空间站需要协助处理各种任务,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O10_Description,Objective: Confirm changes and exit build mode,,目标：确认更改并退出建造模式,目标：确认更改并退出建造模式,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O10_Title,Training Module: Ship Enhancement,,训练模块：飞船强化,训练模块：舰船增强,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O11_Description,Training Module: Approach the asteroids,训练模块：靠近小行星,,训练模块：接近小行星,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O11_Title,Training Module: Approach the Asteroids,,训练模块：接近小行星,训练模块：接近小行星,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O12_Description,Training Module: Scan the asteroid,训练模块：扫描小行星,,训练模块：扫描小行星,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O12_Title,Training Module: Scan the Asteroid,,训练模块：扫描小行星,训练模块：扫描小行星,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O13_Description,Training Module: Mine the asteroid,训练模块：在小行星上采矿,,训练模块：开采小行星,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O13_Title,Training Module: Mine the Asteroid,,训练模块：开采小行星,训练模块：开采小行星,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O14_Description,Repair station,,修复空间站,维修空间站,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O14_Title,Repair station,,修复空间站,维修站,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O15_Description,Objective: Construct Hangars (x2),,目标：建造机库 (x2),目标：建造「机库」（x2）,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O15_Title,Ship Enhancement: Hangars,,飞船强化：机库,舰船升级：机库,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O16_Description,Objective: Construct Engineers (x2),训练模块：建造两艘工程舰,,目标：建造「工程师」（x2）,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O16_Title,Ship Enhancement: Engineers,舰船改善：工程舰,,舰船升级：工程师,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O17_Description,Objective: Construct a Scanner (x1),,目标：建造扫描仪 (x1),目标：建造「扫描仪」（x1）,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O17_Title,Ship Enhancement: Scanners,舰船改善：扫描仪,,舰船升级：扫描仪,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O18_Description,Reach checkpoint,到达检查点,,抵达检查点,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O18_Title,Reach checkpoint,到达检查点,,抵达检查点,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O19_Description,Reach checkpoint,到达检查点,,抵达检查点,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O19_Title,Reach checkpoint,到达检查点,,抵达检查点,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O1_Description,Activate the Energy Grid,激活能源网,,激活能量网格,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O1_Title,Activate the Energy Grid,激活能源网,,激活能量网格,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O20_Description,Reach checkpoint,到达检查点,,抵达检查点,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O20_Title,Reach checkpoint,到达检查点,,抵达检查点,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O2_Description,Undock from the Pragia Luminosa,与“光耀布拉格”解除对接,,从「普拉吉亚·露米诺萨」号离港。,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O2_Title,Undock with the Pragia Luminosa,,与 Pragia Luminosa 解除对接,从「普拉吉亚·露米诺萨」号离港,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O3_Description,Fly to the waypoint.,,飞往航点。,飞往导航点。,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O3_Title,Fly to the waypoint,飞行至路径点,,飞往导航点,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O4_Description,Fly to the waypoint.,,飞往航点。,飞往导航点。,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O4_Title,Fly to the waypoint,飞行至路径点,,飞往导航点,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O5_Description,Fly to the waypoint.,,飞往航点。,飞往导航点。,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O5_Title,Fly to the waypoint,飞行至路径点,,飞往导航点,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O6_Description,Dock with the Pragia Luminosa.,与“光耀布拉格”对接。,,与「普拉吉亚·露米诺萨」号对接。,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O6_Title,Dock with the Pragia Luminosa.,与“光耀布拉格”对接。,,与「普拉吉亚·露米诺萨」号对接。,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL1_O7_Description,Toggle build mode using <BoldBlue>[B]</>.,,使用 <BoldBlue>[B]</> 切换建造模式。,按 <BoldBlue>[B]</> 切换建造模式。,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O7_Title,Ship Enhancement,,飞船强化,飞船强化,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O8_Description,Objective: Construct a mining laser (x1),,目标：建造采矿激光 (x1),目标：建造一座采矿激光器 (x1),AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O8_Title,Ship Enhancement: Construct Mining Lasers,,飞船强化：建造采矿激光,飞船强化：建造采矿激光器,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O9_Description,Objective: Construct a storage bay (x1),,目标：建造储物舱 (x1),目标：建造一个存储舱 (x1),AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL1_O9_Title,Ship Enhancement: Construct Storage,,飞船强化：建造储存舱,舰船强化：建造仓库,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_M1O1_Description,"These wrecked modules are cluttering up the whole sector. Let’s clean up this mess and give us some breathing room.

Start with this hunk of junk here, and then move on to cleanup the old station.","这些损坏的模块把整个区域都弄得乱七八糟。咱们得把这些垃圾清理干净，给自己腾出点空间来。

先从这里的一大堆废料开始收拾，然后把旧站点也打扫干净。",,"这些破损的模块把整个星区弄得乱七八糟。让我们清理掉这些垃圾，腾出点空间。

先从这堆废铁开始，然后继续清理那座旧空间站。",原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_M1O1_Title,Local Cleanup,局部大扫除,,局部清理,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_M2O1_Description,"Here you’ll learn how to use blueprints to save and recall full station configurations.

First, we’ll assemble this solar wing and then link it to the <BoldBlue>DS-Refine</>, giving the station a new power source.",,"在这里你将学习如何使用蓝图来保存和调用完整的空间站配置。

首先，我们来组装这个太阳能翼，然后将其连接到<BoldBlue>DS-Refine</>，为空间站接入新的电源。","在这里你将学会如何使用蓝图保存和调用完整的空间站配置。

首先，我们会组装这个太阳能翼，并将其连接至<BoldBlue>DS-精炼站</>，为空间站提供新的能量来源。",AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_M2O1_Title,Solar Wing Construction,太阳能电池板建造工程,,太阳能翼建造,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_M2O2_Description,Save the blueprint of Solar Wing ,,保存太阳能翼蓝图,保存「太阳能翼」的蓝图,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_M2O2_Title,Solar Wing Construction,,太阳翼建造,太阳能翼建造,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_M2O3_Description,Coinstruct a copy of Solar Wing,,建造太阳能翼副本,建造一个「太阳能翼」的复制品,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_M2O3_Title,Solar Wing Construction,,太阳翼建造,太阳能翼建造,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_M2O4_Description,Coinstruct a copy of Solar Wing,,建造太阳能翼副本,建造一个「太阳能翼」的复制品,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_M2O4_Title,Solar Wing Construction,,太阳翼建造,太阳能翼建造,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_M2O5_Description,Coinstruct a copy of Solar Wing,,建造太阳能翼副本,建造一个「太阳能翼」的复制品,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_M2O5_Title,Solar Wing Construction,,太阳翼建造,太阳能翼建造,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O10_Description,Training Module: Build a Cargo Bay,,训练模块：建造一个货舱,训练模块：建造货舱,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O10_Title,Training Module: Build a Cargo Bay,,训练模块：建造一个货舱,训练模块：建造货舱,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O11_Description,Training Module: Collect Iron,训练模块：收集铁,,训练模块：收集铁,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O11_Title,Training Module: Collect Iron,训练模块：收集铁,,训练模块：收集铁,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O12_Description,Training Module: Possess the Station,,训练模块：控制空间站,训练模块：占据空间站,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O12_Title,Training Module: Possess the Station,,训练模块：控制空间站,训练模块：占据空间站,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O13_Description,Training Module: Build Radiator,训练模块：建造散热器,,训练模块：建造散热器,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O13_Title,Training Module: Build Radiator,训练模块：建造散热器,,训练模块：建造散热器,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O14_Description,Training Module: Build a Factory,训练模块：建造一间工厂,,训练模块：建造工厂,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O14_Title,Training Module: Build a Factory,训练模块：建造一间工厂,,训练模块：建造工厂,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O15_Description,Training Module: Collect Silicates,训练模块：收集硅酸盐,,训练模块：收集硅酸盐,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O15_Title,Training Module: Collect Silicates,训练模块：收集硅酸盐,,训练模块：收集硅酸盐,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O16_Description,Training Module: Collect Cobalt,训练模块：收集钴,,训练模块：收集钴,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O16_Title,Training Module: Collect Cobalt,训练模块：收集钴,,训练模块：收集钴,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O17_Description,Training Module: Collect Thorium,训练模块：收集钍,,训练模块：收集钍,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O17_Title,Training Module: Collect Thorium,训练模块：收集钍,,训练模块：收集钍,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O18_Description,Training Module: Build a Construction Tower,,训练模块：建造一座建造塔,训练模块：建造施工塔,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O18_Title,Training Module: Build a Construction Tower,,训练模块：建造一座建造塔,训练模块：建造工程塔,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O19_Description,Training Module: Set Restorer 7 as Energy Sender,训练模块：将修建者 7 号设置为能量输送端,,训练模块：将「修复者7号」设为能量发送方,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O19_Title,Training Module: Set Restorer 7 as Energy Sender,训练模块：将修建者 7 号设置为能量输送端,,训练模块：将「修复者7号」设为能量发送方,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O1_Description,Objective: Approach the station,,目标：接近空间站,目标：靠近空间站,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O1_Title,Training Module: Approach the Station,,训练模块：接近空间站,训练模块：靠近空间站,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O20_Description,Training Module: Set DS-Refine as Reciever,训练模块：将深空精炼器设置为接收端,,训练模块：将「DS-精炼」设为接收方,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O20_Title,Training Module: Set DS-Refine as Reciever,训练模块：将深空精炼器设置为接收端,,训练模块：将「DS-精炼」设为接收方,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O21_Description,Training Module: Transfer Energy,训练模块：输送能量,,训练模块：传输能量,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O21_Title,Training Module: Transfer Energy,训练模块：输送能量,,训练模块：传输能量,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O22_Description,Training Module: Jettison 20 Fe Chunks,训练模块：投弃 20 个铁块,,训练模块：丢弃20块铁碎片,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O22_Title,Training Module: Jettison 20 Fe Chunks,训练模块：投弃 20 个铁块,,训练模块：丢弃20块铁碎片,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O2_Description,Objective: Create solar panels,,目标：制造太阳能板,目标：制造太阳能板,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O2_Title,Training Module: Create Solar Panels,,训练模块：建造太阳能板,训练模块：制造太阳能板,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O3_Description,Training Module: Build Energy Storages,训练模块：建造能源存储库,,训练模块：建造能量储存器,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O3_Title,Training Module: Build Energy Storages,训练模块：建造能源存储库,,训练模块：建造能量储存器,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O4_Description,Training Module: Build Habitats,训练模块：建造居住区,,「训练单元：建造居住区」,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O4_Title,Training Module: Build Habitats,训练模块：建造居住区,,「训练单元：建造居住区」,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O5_Description,Training Module: Build Water Storage,训练模块：建造水存储库,,「训练单元：建造储水设施」,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O5_Title,Training Module: Build Water Storage,训练模块：建造水存储库,,「训练单元：建造储水设施」,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O6_Description,Training Module: Build Metal Storage,,训练模块：建造金属仓库,「训练单元：建造金属仓库」,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O6_Title,Training Module: Build Metal Storage,,训练模块：建造金属仓库,「训练单元：建造金属仓库」,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O7_Description,Training Module: Build Refineries,,训练模块：建造精炼厂,「训练单元：建造精炼厂」,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O7_Title,Training Module: Build Refineries,,训练模块：建造精炼厂,「训练单元：建造精炼厂」,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O8_Description,Training Module: Build a Cargo Bay,,训练模块：建造一个货舱,「训练单元：建造货舱」,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O8_Title,Training Module: Build a Cargo Bay,,训练模块：建造一个货舱,「训练单元：建造货舱」,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL2_O9_Description,Training Module: Transfer Crew,训练模块：运送船员,,「训练单元：转移船员」,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL2_O9_Title,Training Module: Transfer Crew,训练模块：运送船员,,「训练单元：转移船员」,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,TUTORIAL3_O10_Description,Repair Vulcan,,修复火神号,「维修火神号」,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O10_Title,Repair Vulcan,,修复火神号,「维修火神号」,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O1_Description,Research: Lab,,研究：实验室,「研究：实验室」,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O1_Title,Research: Lab,,研究：实验室,科研：实验室,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O2_Description,Build a Research Lab,,建造研究实验室,建造研究实验室,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O2_Title,Build a Research Lab,,建造研究实验室,建造研究实验室,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O3_Description,Complete level up,,完成升级,完成升级,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O3_Title,Complete level up,,完成升级,完成升级,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O4_Description,Complete level up,,完成升级,完成升级,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O4_Title,Research Thruster,,研究推进器,研发推进器,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O5_Description,Build Thruster,,建造推进器,建造推进器,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O5_Title,Build Thruster,,建造推进器,建造推进器,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O6_Description,Set Thruster Group,,设置推进器组,设置推进器编组,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O6_Title,Set Thruster Group,,设置推进器组,设置推进器编组,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O7_Description,Set Weapon Group,,设置武器组,设置武器编组,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O7_Title,Set Weapon Group,,设置武器组,设置武器编组,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O8_Description,Set Weapon Group,,设置武器组,设置武器编组,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O8_Title,Set Weapon Group,,设置武器组,设置武器编组,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O9_Description,Attack nest.,,攻击巢穴。,攻击巢穴。,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,TUTORIAL3_O9_Title,Attack Nest,,攻击巢穴,攻击巢穴,AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,WATER_DELIVERY_O1_Description,"Captain! Our last two water shipments never arrived and we are running dangerously low.

We are offering a SAT premium for a large water shipment on top of the regular per unit price.",,"舰长！我们最后两批水资源运输未能抵达，目前库存严重不足。

除了常规单价外，我们为大批量水资源运输提供SAT溢价。","舰长！我们最后两批水运输船一直没到，储水量已经危险地见底了。

除了常规的单价外，我们还会为一大批水运输提供SAT溢价。",AI新增,❌ 预计不生效（AI预估）—DataTable新增条目需游戏.uasset内烧录中文路径，locres patch无效
MissionObjectivesDatatable,WATER_DELIVERY_O1_Title,Water Shipment,运输淡水,,水运输,原版已有,✅ 已生效（原版支持）
MissionObjectivesDatatable,fefe_Description,fefe,,,fefe,未翻译,—（未翻译）
MissionObjectivesDatatable,fefe_Title,fefe,,,fefe,未翻译,—（未翻译）
MissionStepsDataTable,CANDLE_IN_THE_DARK-04fxaH2w_StepText,No,否,,否,原版已有,✅ 已生效（原版支持）
